file_token,filename,model_guess,reason
4TcJf9ycGM3FirlT,Mantra M7 Line check Analysis.xlsx,Mantra M7 check Analysis,no_parsable_sizes
OBZliKTGpyYJ4fSw,Mantra M7 - lines.xlsx,Mantra M7 -,no_parsable_sizes
5PYjIBnAB0bfDrfU,inspection info Mojo 5.xlsx,inspection info Mojo 5,no_parsable_sizes
v0KWfcYXdzkAFHtO,inspection info Mojo6.xlsx,inspection info Mojo6,no_parsable_sizes
KGMLFnQPMDMz8a2b,inspection info MojoPWR 2.xlsx,inspection info MojoPWR 2,no_parsable_sizes
X4brpW2kpMSz57yO,inspection info MojoMax.xlsx,inspection info MojoMax,no_parsable_sizes
qAU0Dzd8r0hVYB72,inspection info_Moxie.xlsx,inspection info Moxie,no_parsable_sizes
j01OIebiUALn35Wl,inspection info MoxiePWR.xlsx,inspection info MoxiePWR,no_parsable_sizes
iKgtidJ7AIsYhaWZ,Photon L PWC check table.xlsx,Photon L PWC check table,no_parsable_sizes
KmufFPlelojD5x8H,Photon ML PWC check table.xlsx,Photon ML PWC check table,no_parsable_sizes
200nY9SGifJTGXUA,Photon XL PWC check table.xlsx,Photon XL PWC check table,no_parsable_sizes
dMrisk9X6NBVTjo2,Photon XS PWC check table.xlsx,Photon XS PWC check table,no_parsable_sizes
SvTPZsOw9UxLzsn9,lines_minimum_strength_Photon.xlsx,lines minimum strength Photon,no_parsable_sizes
Mg9bWSZxOXnSG6le,Rapido_3_Line_Chart_-_Unsheathed_Lines.xlsx,Rapido 3 Line Chart - Unsheathed Lines,no_parsable_sizes
fqkeFlUnbPguyt0i,inspection info RoadMax.xlsx,inspection info RoadMax,no_parsable_sizes
bVPDJUHhtvBb3f1s,inspection info Roadster 3.xlsx,inspection info Roadster 3,no_parsable_sizes
Ew3SVByOvdNVhxYZ,inspection info Roadster 4.xlsx,inspection info Roadster 4,no_parsable_sizes
RVOiNz1Gnp8XIYNV,inspection info Rush 5.xlsx,inspection info Rush 5,no_parsable_sizes
aMJcuUZH3CJLUTQ1,inspection info_Rush6.xlsx,inspection info Rush6,no_parsable_sizes
m8uCvTTTIFQlHqwk,Session Line Chart 15m.xlsx,Session Chart 15m,no_parsable_sizes
YeTdUksWiooVfgKz,inspection info Sirocco 3.xlsx,inspection info Sirocco 3,no_parsable_sizes
p42KOJmXOMrWqysg,inspection info Speedster3.xlsx,inspection info Speedster3,no_parsable_sizes
QCdtoljTvvOvYfAq,inspection info Spyder 3.xlsx,inspection info Spyder 3,no_parsable_sizes
k0kt1oRLMOigHCOV,inspection info Swift 5.xlsx,inspection info Swift 5,no_parsable_sizes
PRSUNiseiTzTcpQq,inspection info_Swift6.xlsx,inspection info Swift6,no_parsable_sizes
lI7c6SDJLOb1QzqM,inspection info SwiftMax.xlsx,inspection info SwiftMax,no_parsable_sizes
nKHXu8dMEiE7l84n,SwiftMax2 41 - lines.xlsx,SwiftMax2 41 -,no_parsable_sizes
fwNLXt9mAMjQ6svw,inspection info SwiftMax 2.xlsx,inspection info SwiftMax 2,no_parsable_sizes
DS2wrepk6lK0k5Mq,inspection info TriOx 2.xlsx,inspection info TriOx 2,no_parsable_sizes
j4ms9jhPu8c8ZJfj,inspection info UL4.xlsx,inspection info UL4,no_parsable_sizes
D8538DicdiT5pXpz,inspection info Ultralite 5.xlsx,inspection info Ultralite 5,no_parsable_sizes
ADSQzijOnkG7rebv,Viper_4_Line_Chart.xlsx,Viper 4 Line Chart,no_parsable_sizes
WZbFrbYbKdhA3KcM,inspection info Viper 4.xlsx,inspection info Viper 4,no_parsable_sizes
zLJEOruVHuY0GIDo,inspection info Viper 5.xlsx,inspection info Viper 5,no_parsable_sizes
9yoB0joe3mS0NqHt,inspection info Viper 6.xlsx,inspection info Viper 6,no_parsable_sizes
PfORauXbhHkhZBgm,inspection info ViperXC.xlsx,inspection info ViperXC,no_parsable_sizes
uBRY0Etco9BeGuAd,inspection info Wisp.xlsx,inspection info Wisp,no_parsable_sizes
Bd4CHMweW9j5xe99,inspection info Wisp 2.xlsx,inspection info Wisp 2,no_parsable_sizes
x2G67sgaV0aREsI3,inspection info XXLite2.xlsx,inspection info XXLite2,no_parsable_sizes
gKmIan6Eb9dqmRTi,Z-ALPS Line Chart.xlsx,Z-ALPS Chart,no_parsable_sizes
CIPGssZt6WO321TH,inspection info Z-Alps.xlsx,inspection info Z-Alps,no_parsable_sizes
MIz84HnvLCWAolzf,Zeno L PWC check table.xlsx,Zeno L PWC check table,no_parsable_sizes
CIKNXnHfEsnKsc9D,Zeno Lines.xlsx,Zeno,no_parsable_sizes
a69i2xeueXDp62Nc,Zeno MS PWC check table.xlsx,Zeno MS PWC check table,no_parsable_sizes
EZLUSTXcvw3zzdv3,Zeno S PWC check table.xlsx,Zeno S PWC check table,no_parsable_sizes
j4v3VcCHJFm2SsNY,inspection info Zeno.xlsx,inspection info Zeno,no_parsable_sizes
8srHqNJUWC3PIWVS,Zeno2 - lines.xlsx,Zeno2 -,no_parsable_sizes
2gqfujU7sE16Bml0,Zeno2 XS PWC check table.xlsx,Zeno2 XS PWC check table,no_parsable_sizes
HdpJYPSM7OZgBV1P,inspection info_Zeno2.xlsx,inspection info Zeno2,no_parsable_sizes
0I5vQXlgEzShPzBA,Zeolite ML line Check.xlsx,Zeolite ML Check,no_parsable_sizes
iZkpUpYlajgOpAJr,Zeolite MS line Check.xlsx,Zeolite MS Check,no_parsable_sizes
cJAMintN2WthVYiM,Zeolite S line Check.xlsx,Zeolite S Check,no_parsable_sizes
zKBZqmotxFDToGEH,inspection info ZeoLite.xlsx,inspection info ZeoLite,no_parsable_sizes
R3x66wDFFvZEjb1U,Zeolite2GT L line Check.xlsx,Zeolite2GT L Check,no_parsable_sizes
rtIPNMDX0mHu9t8b,Zeolite2GT ML line Check.xlsx,Zeolite2GT ML Check,no_parsable_sizes
xoOBk4jWC3u2ruE0,Zeolite2GT MS line Check.xlsx,Zeolite2GT MS Check,no_parsable_sizes
odEZcU95op6YHe1J,Zeolite2GT S line Check.xlsx,Zeolite2GT S Check,no_parsable_sizes
mALxzxo1hI7kzWNr,Zeolite2GT XS line Check.xlsx,Zeolite2GT XS Check,no_parsable_sizes
dTDbIWQRu1mMmjvw,Zeolite2GT L line Check.xlsx,Zeolite2GT L Check,no_parsable_sizes
zxDRQOAmH1mM7hHw,Zeolite2GT ML line Check.xlsx,Zeolite2GT ML Check,no_parsable_sizes
uGi3sA1MzNqTiUV5,Zeolite2GT MS line Check.xlsx,Zeolite2GT MS Check,no_parsable_sizes
Qw4YX50TBbe0Vaco,Zeolite2GT S line Check.xlsx,Zeolite2GT S Check,no_parsable_sizes
dtIGYmhARQ7xHIu6,Zeolite2GT XS line Check.xlsx,Zeolite2GT XS Check,no_parsable_sizes
NmttV9OaCc60ZrMo,inspection info ZeoLite GT.xlsx,inspection info ZeoLite GT,no_parsable_sizes
