file_token,filename,model_guess,parse_mode,sizes,export_xlsx,rigging_pdf_dir,rigging_manifest
Bm2EpdZAErCaEXey,Dragonfly Lines.xlsx,Dragonfly,fallback,"14,16,18",ozone_bulk\_exports\Ozone_Dragonfly_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
6lZzj0uIzTv9qCva,Element 3 Line Chart-1.xlsx,Element 3 Chart-1,fallback,"XXS,XS,S,M,L",ozone_bulk\_exports\Ozone_Element 3 Chart-1_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
tsKGPOZEfPIa3UOo,enzo3 CCC Lines and Risers Length.xlsx,enzo3 CCC and Risers,fallback,"XXS,XS,S,M,L,XL,ScalingCheck",ozone_bulk\_exports\Ozone_enzo3 CCC and Risers_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
FUgJJoCum4F27QNw,Freeride_Line_Chart.xlsx,Freeride Line Chart,fallback,"15,16,17,19,21,23",ozone_bulk\_exports\Ozone_Freeride Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
b6tlBfvgcenk8uHy,Freeride_2_Freeride_2_-_Line_Chart.xlsx,Freeride 2 Freeride 2 - Line Chart,fallback,"13_UNSH,14_SH,14_UNSH,15_SH,15_UNSH,16_SH,16_UNSH,17_SH,17_UNSH,19_SH,21_SH",ozone_bulk\_exports\Ozone_Freeride 2 Freeride 2 - Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
GSb9MzRsuzBrjcTV,Geo6 lines.xlsx,Geo6,fallback,"MS,ML,L",ozone_bulk\_exports\Ozone_Geo6_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
72nXK2DWCHaGRFbk,Geo7 - lines.xlsx,Geo7 -,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Geo7 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
J7KMMRdOjDKsSvnH,Jomo 2 lines.xlsx,Jomo 2,fallback,"XS,S,M,L",ozone_bulk\_exports\Ozone_Jomo 2_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
OAe9x64JO944eJ7x,Kona - lines.xlsx,Kona -,fallback,"22,24,26,27,29,31",ozone_bulk\_exports\Ozone_Kona -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
hIFhfyd5iFuECmat,Kona_2_Line_Chart_(Post_December_2019).xlsx,Kona 2 Line Chart (Post December 2019),fallback,"26,27,29,31",ozone_bulk\_exports\Ozone_Kona 2 Line Chart (Post December 2019)_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
wPS7yN0APlcdPquH,Kona3 - lines.xlsx,Kona3 -,fallback,"22,24,26,27,29,31",ozone_bulk\_exports\Ozone_Kona3 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
T3wUYrBRxLyhMi7x,Lyght Line details.xlsx,Lyght details,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Lyght details_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
ZhGzl4fjUlUJIQON,MagMax_2_Line_Chart.xlsx,MagMax 2 Line Chart,fallback,"MagMax2 38,MagMax2 41",ozone_bulk\_exports\Ozone_MagMax 2 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
knbVuJVtgCxQaR2g,Magnum3 - lines.xlsx,Magnum3 -,fallback,"38,41",ozone_bulk\_exports\Ozone_Magnum3 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
ZLah7jparedA6kVR,Mojo6 lines.xlsx,Mojo6,fallback,"XS,S,M,L,XL",ozone_bulk\_exports\Ozone_Mojo6_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
ofTV9okMajdgrwoP,MojoPWR 2 - lines.xlsx,MojoPWR 2 -,fallback,"22,24,26,28,30",ozone_bulk\_exports\Ozone_MojoPWR 2 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
D21NB99omXiQaU6f,MojoMax - lines.xlsx,MojoMax -,fallback,"33,36",ozone_bulk\_exports\Ozone_MojoMax -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
DoDMIqtivv15vmyP,Moxie - lines.xlsx,Moxie -,fallback,"XXS,XS,S,M,L",ozone_bulk\_exports\Ozone_Moxie -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
nkbSRYOTf2VKpP63,MoxiePWR - lines.xlsx,MoxiePWR -,fallback,"20,22,24,26,29,31",ozone_bulk\_exports\Ozone_MoxiePWR -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
bAtn7xujRuTSQuMR,Photon Line Chart.xlsx,Photon Chart,fallback,"XS,S,MS,ML,L,XL",ozone_bulk\_exports\Ozone_Photon Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
gDxnRJn71FtjO6uL,Photon MS PWC check table.xlsx,Photon MS PWC check table,fallback,Wing analysis,ozone_bulk\_exports\Ozone_Photon MS PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
UWuYaUjdbVifk62Z,Photon S PWC check table.xlsx,Photon S PWC check table,fallback,Wing analysis,ozone_bulk\_exports\Ozone_Photon S PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
nMnGJFZa959lHMdZ,Rapido_3_Line_Chart_-_Sheathed_Lines.xlsx,Rapido 3 Line Chart - Sheathed Lines,fallback,"15m,13m,11m,9m,8m",ozone_bulk\_exports\Ozone_Rapido 3 Line Chart - Sheathed Lines_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
auIMFo7Ht2wHphip,Rapido_3X_Line_Chart.xlsx,Rapido 3X Line Chart,fallback,"5.9,6.5,8,9,11",ozone_bulk\_exports\Ozone_Rapido 3X Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
EEIqvqf1fPpQRurF,RoadMax 32 - lines.xlsx,RoadMax 32 -,fallback,32,ozone_bulk\_exports\Ozone_RoadMax 32 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
IcgBbRiI5bL9pL9O,Roadrunner Line Chart.xlsx,Roadrunner Chart,fallback,Line details,ozone_bulk\_exports\Ozone_Roadrunner Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
GRGdqcYuvXAn7vDg,Roadster 3 lines.xlsx,Roadster 3,fallback,"22,24,26,28,30",ozone_bulk\_exports\Ozone_Roadster 3_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
uKYbzum8zTz529Ys,Roadster4 - lines all.xlsx,Roadster4 - all,fallback,"20,22,24,26,28,30",ozone_bulk\_exports\Ozone_Roadster4 - all_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
0ocbiVvaO9LRHkFB,Rush 5 Line Chart.xlsx,Rush 5 Chart,fallback,"XS,S,MS,ML,L,XL",ozone_bulk\_exports\Ozone_Rush 5 Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
nJDBzCHbBZY5LXKg,Rush6 Line check Analysis.xlsx,Rush6 check Analysis,fallback,"Rush6 measurement analysis,Manual Value XS,Manual value S,Manual Value MS,Manual Value ML,Manual Value L,Manual Value XL",ozone_bulk\_exports\Ozone_Rush6 check Analysis_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
SVY0dfebTLHZRjLM,Rush6_Swift6 - lines 8001.xlsx,Rush6 Swift6 - 8001,fallback,"XS,S,MS,ML,L,XL",ozone_bulk\_exports\Ozone_Rush6 Swift6 - 8001_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
UxPQnut51cw0WTMy,Session Line Chart 16m.xlsx,Session Chart 16m,fallback,Line check,ozone_bulk\_exports\Ozone_Session Chart 16m_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
E5OsrTda45BqiKQ3,Session Line Chart 17m.xlsx,Session Chart 17m,fallback,Line check,ozone_bulk\_exports\Ozone_Session Chart 17m_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
AF1oS50HV4FicOu7,Sirocco_2_Line_Chart.xlsx,Sirocco 2 Line Chart,fallback,"19,22,24,26,28,30",ozone_bulk\_exports\Ozone_Sirocco 2 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
O2wSChsCaQniswZc,Sirocco 3 - lines.xlsx,Sirocco 3 -,fallback,"18,20,22,24,26,28,30",ozone_bulk\_exports\Ozone_Sirocco 3 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
OfRKeLMOn9kV9k6V,Spark_2_Line_Chart.xlsx,Spark 2 Line Chart,fallback,"25,27,30",ozone_bulk\_exports\Ozone_Spark 2 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
RyhlHmGAUkLlMb9U,Speedster2 - lines.xlsx,Speedster2 -,fallback,"22,24,26,28,30",ozone_bulk\_exports\Ozone_Speedster2 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
pkEpQx4pWmD26B4i,Speedster 3 - lines.xlsx,Speedster 3 -,fallback,"20,22,24,26,28,30",ozone_bulk\_exports\Ozone_Speedster 3 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
qAx9ZtDHvc4KGiFs,Spyder 3 lines.xlsx,Spyder 3,fallback,"20,22,24,26,28,30",ozone_bulk\_exports\Ozone_Spyder 3_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
NFQ68ttoE2FZlsNM,Spyder 4 - lines all.xlsx,Spyder 4 - all,fallback,"20,22,24,26,28,30",ozone_bulk\_exports\Ozone_Spyder 4 - all_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
hEXBMD1SL8zhhMYy,Rush5_Swift5 lines.xlsx,Rush5 Swift5,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Rush5 Swift5_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
g0bN4tmb4XfYFW1z,Rush6_Swift6 - lines 8001.xlsx,Rush6 Swift6 - 8001,fallback,"XS,S,MS,ML,L,XL",ozone_bulk\_exports\Ozone_Rush6 Swift6 - 8001_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
Zk8QbObqq0iX4ZJx,TriOx - lines.xlsx,TriOx -,fallback,"34,38",ozone_bulk\_exports\Ozone_TriOx -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
qa6NVdcw8QjAKLhF,TriOx2 - lines.xlsx,TriOx2 -,fallback,"35,38,41",ozone_bulk\_exports\Ozone_TriOx2 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
CVibf7hVIDFt16u3,UL4 lines.xlsx,UL4,fallback,"UL4_17,UL4_19,UL4_21,UL4_23,UL4_25",ozone_bulk\_exports\Ozone_UL4_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
CoCPSWab4YUmqL8t,UltraLite5 - lines.xlsx,UltraLite5 -,fallback,"13,15,17,19,21,23,25",ozone_bulk\_exports\Ozone_UltraLite5 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
i4Ban9wKHpt2TGoM,Viper_5_Line_Chart.xlsx,Viper 5 Line Chart,fallback,"16,18,20,22",ozone_bulk\_exports\Ozone_Viper 5 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
7sOCV4VLklWHVdzG,Viper6 - lines tables.xlsx,Viper6 - tables,fallback,"16,18,20,22",ozone_bulk\_exports\Ozone_Viper6 - tables_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
TpxPkQYzjJm7pMQF,ViperXC - lines.xlsx,ViperXC -,fallback,"16,18,20,22,24",ozone_bulk\_exports\Ozone_ViperXC -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
NapElgNCVFF3wl1C,Wisp2 37 - lines.xlsx,Wisp2 37 -,fallback,37,ozone_bulk\_exports\Ozone_Wisp2 37 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
g0GaA7jTZ1AhXlIc,XXLite 2 Line Chart.xlsx,XXLite 2 Chart,fallback,"XXlite 2 16,XXLite 2 18",ozone_bulk\_exports\Ozone_XXLite 2 Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
ZmNHQ9DhzfGCk7if,Zeno ML PWC check table.xlsx,Zeno ML PWC check table,fallback,Wing left right,ozone_bulk\_exports\Ozone_Zeno ML PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
RXQtfzviY1buga9j,Lines manual Zeno2 XS.xlsx,manual Zeno2 XS,fallback,Sheet1,ozone_bulk\_exports\Ozone_manual Zeno2 XS_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
gZPtFWT4G8VFf5dD,Lines manual Zeno2L.xlsx,manual Zeno2L,fallback,Manual,ozone_bulk\_exports\Ozone_manual Zeno2L_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
2XekMBOv8B1R3pRA,Lines manual Zeno2ML.xlsx,manual Zeno2ML,fallback,Manual,ozone_bulk\_exports\Ozone_manual Zeno2ML_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
SiZQiXZ3n9gewtQf,Lines manual Zeno2MS.xlsx,manual Zeno2MS,fallback,Manual,ozone_bulk\_exports\Ozone_manual Zeno2MS_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
1iPocoet4ewGkzyn,Lines manual Zeno2S.xlsx,manual Zeno2S,fallback,Manual,ozone_bulk\_exports\Ozone_manual Zeno2S_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
8MmxR4bWaxcRNuZx,Zeno2 L PWC check table.xlsx,Zeno2 L PWC check table,fallback,Wing left right,ozone_bulk\_exports\Ozone_Zeno2 L PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
pTOXNBp2Q06AgU15,Zeno2 ML PWC check table.xlsx,Zeno2 ML PWC check table,fallback,Wing left right,ozone_bulk\_exports\Ozone_Zeno2 ML PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
RTadDrkZkpkMbDcm,Zeno2 MS PWC check table.xlsx,Zeno2 MS PWC check table,fallback,Wing left right,ozone_bulk\_exports\Ozone_Zeno2 MS PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
ewHR2gkssz8leQa9,Zeno2 S PWC check table.xlsx,Zeno2 S PWC check table,fallback,Wing left right,ozone_bulk\_exports\Ozone_Zeno2 S PWC check table_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
qk7a0EczaFU75Eoy,Zeolite Line Chart.xlsx,Zeolite Chart,fallback,"S,MS,ML",ozone_bulk\_exports\Ozone_Zeolite Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
zlTTJcYWVij4KG4T,Zeolite2 GT Lines details.xlsx,Zeolite2 GT details,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Zeolite2 GT details_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
nrndHU7QSkvcM9xj,Zeolite_2_Line_Chart.xlsx,Zeolite 2 Line Chart,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Zeolite 2 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
6gnLLpMQQg89MBFC,Zeolite2 GT Lines details.xlsx,Zeolite2 GT details,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Zeolite2 GT details_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
yuPWrGQl6cO6ftf9,Zeolite_2_Line_Chart.xlsx,Zeolite 2 Line Chart,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Zeolite 2 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
hRtxejYt3VAnRtIn,Zeolite_GT_Line_Chart.xlsx,Zeolite GT Line Chart,fallback,"S,MS,ML",ozone_bulk\_exports\Ozone_Zeolite GT Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
KW4poQsybBpo6T3q,Zero_3_Line_Chart.xlsx,Zero 3 Line Chart,fallback,"13,15,17,19",ozone_bulk\_exports\Ozone_Zero 3 Line Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
